,,bez_poruchy,chýbajúci_zub,koreňová_trhlina,odštiepený_zub,povrchová_chyba,výstrednosť
sensor1,count,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
sensor1,mean,2.5204994978119557,2.519035398507626,2.521142381968165,2.5191299246088197,2.518209731141609,2.5212442304301
sensor1,min,2.4513565273827225,2.2503081191987784,2.465482527164873,2.4594050613280323,2.2194282486943533,2.467453597430531
sensor1,25%,2.5172231648256176,2.5165661402896697,2.5187014700849835,2.516401884157968,2.5131167617157937,2.518865726229485
sensor1,50%,2.5208368000348567,2.519522750816638,2.5208368000348567,2.5190299823749016,2.518865726229485,2.5218223369869546
sensor1,75%,2.523136386307683,2.5218223369869546,2.523629154818065,2.5219865931488417,2.5229721301393875,2.523793410990024
sensor1,max,2.5927810847413544,2.769193179566924,2.5740558428448628,2.5932738544286904,2.8209343695837874,2.5642004572296337
sensor1,std,0.00796704231621401,0.008255657335308803,0.007179307398704678,0.008161861808622613,0.021463263084611186,0.006252255698658573
sensor2,count,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
sensor2,mean,2.4298246681740028,2.4293140416407875,2.430850917815867,2.428609389006274,2.4269809474174506,2.430165033185496
sensor2,min,2.378755562701272,2.240452838160306,2.3705427947444893,2.340319827443184,2.1619392063029093,2.3807266273367684
sensor2,25%,2.426882427156128,2.426882427156128,2.428524983598383,2.425732637699484,2.422119013976508,2.427375194079461
sensor2,50%,2.4300032844725137,2.4301675401296463,2.43033179578767,2.428524983598383,2.427867961010803,2.4308245627670835
sensor2,75%,2.4321386080847143,2.431974352416892,2.43328839778442,2.431317329754514,2.431974352416892,2.432795630764913
sensor2,max,2.4932417787164947,2.674252454897171,2.4850289797089,2.5172231648256176,2.70989625303688,2.486835795296165
sensor2,std,0.006862491225840039,0.008779743363661469,0.006853862906288682,0.00778598724246541,0.024106889095917978,0.006476608907164444
time_x,count,150000,150000,150000,150000,150000,150000
time_x,mean,2023-05-03 10:18:43.499900416,2023-05-03 12:43:01.833232896,2023-05-03 14:53:52.499900416,2023-05-02 16:09:56.833233408,2023-05-04 07:24:52.833233408,2023-05-03 20:27:39.333232896
time_x,min,2023-05-02 10:30:01,2023-05-03 12:26:50,2023-05-03 14:41:31,2023-05-02 15:53:07,2023-05-02 14:29:41,2023-05-03 20:20:00
time_x,25%,2023-05-02 11:29:26.499950080,2023-05-03 12:28:19.499950080,2023-05-03 14:41:54.499950080,2023-05-02 15:54:34.499950080,2023-05-02 14:30:28.499950080,2023-05-03 20:22:07.499950080
time_x,50%,2023-05-03 21:48:21.999899904,2023-05-03 12:34:26.999899904,2023-05-03 14:57:30.999899904,2023-05-02 15:59:47.499899904,2023-05-02 14:33:32.499899904,2023-05-03 20:28:52.499899904
time_x,75%,2023-05-03 22:06:04.499849984,2023-05-03 13:06:39.499849984,2023-05-03 15:01:05.499849984,2023-05-02 16:32:00.499849984,2023-05-07 17:10:13.499849984,2023-05-03 20:31:41.499849984
time_x,max,2023-05-03 22:10:04.999800,2023-05-03 13:07:27.999800,2023-05-03 15:03:41.999800,2023-05-02 16:40:23.999800,2023-05-07 17:11:48.999800,2023-05-03 20:34:21.999800
time_x,std,,,,,,
speedSet,count,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
speedSet,mean,24.444010416666668,24.444010416666668,24.444010416666668,24.444010416666668,24.444010416666668,24.444010416666668
speedSet,min,8.33203125,8.33203125,8.33203125,8.33203125,8.33203125,8.33203125
speedSet,25%,8.33203125,8.33203125,8.33203125,8.33203125,8.33203125,8.33203125
speedSet,50%,25.0,25.0,25.0,25.0,25.0,25.0
speedSet,75%,40.0,40.0,40.0,40.0,40.0,40.0
speedSet,max,40.0,40.0,40.0,40.0,40.0,40.0
speedSet,std,12.93441346411044,12.93441346411044,12.93441346411044,12.93441346411044,12.93441346411044,12.93441346411044
load_value,count,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
load_value,mean,40.0,40.0,40.0,40.0,40.0,40.0
load_value,min,0.0,0.0,0.0,0.0,0.0,0.0
load_value,25%,0.0,0.0,0.0,0.0,0.0,0.0
load_value,50%,40.0,40.0,40.0,40.0,40.0,40.0
load_value,75%,80.0,80.0,80.0,80.0,80.0,80.0
load_value,max,80.0,80.0,80.0,80.0,80.0,80.0
load_value,std,40.000133334000004,40.000133334000004,40.000133334000004,40.000133334000004,40.000133334000004,40.000133334000004
time_normalized,count,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
time_normalized,mean,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002
time_normalized,min,0.0,0.0,0.0,0.0,0.0,0.0
time_normalized,25%,1.2499500000000001,1.2499500000000001,1.2499500000000001,1.2499500000000001,1.2499500000000001,1.2499500000000001
time_normalized,50%,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002,2.4999000000000002
time_normalized,75%,3.74985,3.74985,3.74985,3.74985,3.74985,3.74985
time_normalized,max,4.9998,4.9998,4.9998,4.9998,4.9998,4.9998
time_normalized,std,1.4433804830956596,1.4433804830956596,1.4433804830956596,1.4433804830956596,1.4433804830956596,1.4433804830956596
formated_time,count,150000,150000,150000,150000,150000,150000
formated_time,mean,2023-05-03 10:18:43.499900416,2023-05-03 12:43:01.833232896,2023-05-03 14:53:52.499900416,2023-05-02 16:09:56.833233408,2023-05-04 07:24:52.833233408,2023-05-03 20:27:39.333232896
formated_time,min,2023-05-02 10:30:01,2023-05-03 12:26:50,2023-05-03 14:41:31,2023-05-02 15:53:07,2023-05-02 14:29:41,2023-05-03 20:20:00
formated_time,25%,2023-05-02 11:29:26.499950080,2023-05-03 12:28:19.499950080,2023-05-03 14:41:54.499950080,2023-05-02 15:54:34.499950080,2023-05-02 14:30:28.499950080,2023-05-03 20:22:07.499950080
formated_time,50%,2023-05-03 21:48:21.999899904,2023-05-03 12:34:26.999899904,2023-05-03 14:57:30.999899904,2023-05-02 15:59:47.499899904,2023-05-02 14:33:32.499899904,2023-05-03 20:28:52.499899904
formated_time,75%,2023-05-03 22:06:04.499849984,2023-05-03 13:06:39.499849984,2023-05-03 15:01:05.499849984,2023-05-02 16:32:00.499849984,2023-05-07 17:10:13.499849984,2023-05-03 20:31:41.499849984
formated_time,max,2023-05-03 22:10:04.999800,2023-05-03 13:07:27.999800,2023-05-03 15:03:41.999800,2023-05-02 16:40:23.999800,2023-05-07 17:11:48.999800,2023-05-03 20:34:21.999800
formated_time,std,,,,,,
